ㅎ,SAMPLE_ID,식품명,식품명(크롤링),식품명(다시 크롤링),식품명(영어),식품명(영어-정제),제조사,제조사(정리),제조사(영어),조사년도,식품분류,식품상세분류,식품코드,출처,1회제공량,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g),"짠맛(나트륨 / 1회 제공량, g)","단맛(총당류 / 1회 제공량, g)",짠맛(상대),단맛(상대),유탕면,건면,숙면,분말 스프,액상 스프,조미유,컵,국물,짜장,cold
52,P065217-ZZ-AVG,오징어짬뽕컵,오징어짬뽕,오징어짬뽕,Squid jjamppong cup,Squid Jjamppong Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065217,식약처('21),67,290,-,6,9,46,5,1240,13,5,-,0,0.01850746269,0.07462686567,53.85294671,41.04477612,0,1,0,1,0,1,0,1,0,0
47,P065212-ZZ-AVG,신라면블랙사발 두부김치,신라면블랙사발 두부김치,신라면블랙사발 두부김치,Shin Ramyun Black Cup Tofu Kimchi,Shin Ramyun Black Cup Tofu Kimchi,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065212,식약처('21),94,400,-,7,13,64,7,1710,3,7,-,0,0.01819148936,0.07446808511,52.9335287,40.95744681,1,0,0,0,1,0,0,0,0,1
65,P065230-ZZ-AVG,튀김우동큰사발면,튀김우동큰사발면,튀김우동큰사발면,Udon with fries big Cup noodles,Udon With Fries Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065230,식약처('21),111,515,-,9,21,73,8,1590,3,10,-,0,0.01432432432,0.07207207207,41.68086612,39.63963964,1,0,0,1,0,0,1,1,0,0
2669,P014533-ZZ-AVG,야채라면,야채라면,야채라면,Vegetable ramen,Vegetable Ramen,농심,농심,NongShim,2017,가공식품,유탕면,P014533,식약처 산업체제공('17),100,350,-,9,1,76,7,1740,0,0,-,0,0.0174,0.07,50.63045587,38.5,1,0,0,1,0,0,0,1,0,0
566,P042066-ZZ-AVG,미니컵면 가쓰오우동맛,미니컵면 가쓰오우동맛,미니컵면 가쓰오우동맛,Mini cup noodles taste like katsuo udon,Mini Cup Noodles Taste Like Katsuo Udon,농심,농심,NongShim,2020,가공식품,유탕면,P042066,식약처('20),43,200,-,3,9,27,3,1010,0,4,-,0,0.02348837209,0.06976744186,68.34637854,38.37209302,1,0,0,1,0,0,1,1,0,0
40,P065205-ZZ-AVG,사천짜파게티큰사발면,사천짜파게티큰사발면,사천짜파게티큰사발면,Sichuan Chapagetti Big cup noodles,Sichuan Chapagetti Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065205,식약처('21),115,535,-,9,20,80,8,1010,0,9,-,0,0.008782608696,0.06956521739,25.55560241,38.26086957,0,1,0,1,0,0,0,1,0,0
2179,P023594-ZZ-AVG,튀김우동면,튀김우동면,튀김우동면,Udon noodles with fries,Udon Noodles With Fries,농심,농심,NongShim,2019,가공식품,유탕면,P023594,식약처('19),118,495,-,9,16,79,8,1760,3,8,-,0,0.01491525424,0.06779661017,43.40035181,37.28813559,1,0,0,1,0,0,1,1,0,0
63,P065228-ZZ-AVG,콘치즈면,콘치즈면,콘치즈면,Corn cheese noodles,Corn Cheese Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065228,식약처('21),104,480,-,9,18,70,7,1030,0,8,-,0,0.009903846154,0.06730769231,28.81817504,37.01923077,0,0,1,1,0,1,0,0,1,0
2196,P023611-ZZ-AVG,볶음너구리,볶음너구리,볶음너구리,Stir-fried Neoguri,Stir-Fried Neoguri,농심,농심,NongShim,2019,가공식품,유탕면,P023611,식약처('19),137,610,-,12,24,87,9,1280,3,8,-,0,0.009343065693,0.06569343066,27.18641812,36.13138686,1,0,0,1,1,0,1,0,0,0
61,P065226-ZZ-AVG,짜파게티큰사발면,짜파게티,짜파게티,Chapagetti and big cup noodles,Chapagetti And Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065226,식약처('21),123,550,-,10,19,85,8,1220,0,9,-,0,0.009918699187,0.06504065041,28.86139434,35.77235772,0,0,1,0,1,0,0,0,0,0
64,P065229-ZZ-AVG,튀김우동컵,튀김우동,튀김우동,Udon with fries cup,Udon With Fries Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065229,식약처('21),62,315,-,4,15,41,4,1200,0,5,-,0,0.01935483871,0.06451612903,56.31863834,35.48387097,1,0,0,1,0,0,1,1,0,0
31,P065196-ZZ-AVG,너구리컵,너구리,너구리 컵,Neoguri cup,Neoguri Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065196,식약처('21),62,280,-,5,10,42,4,940,0,5,-,0,0.01516129032,0.06451612903,44.1162667,35.48387097,1,0,0,1,0,1,1,0,0,0
43,P065208-ZZ-AVG,순한너구리컵,너구리 순한맛,너구리 순한맛 컵,Mild Neoguri cup,Mild Neoguri Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065208,식약처('21),63,275,-,5,9,43,4,1210,0,5,-,0,0.01920634921,0.06349206349,55.88656413,34.92063492,1,0,0,1,0,0,1,0,0,0
335,P035506-ZZ-AVG,멸치칼국수,멸치칼국수,멸치칼국수,Anchovy kalguksu,Anchovy Kalguksu,농심,농심,NongShim,2020,가공식품,건면,P035506,식약처('20),98,335,-,9,0.4,74,6,1790,9,0,-,0,0.01826530612,0.0612244898,53.14832043,33.67346939,1,0,0,1,0,0,1,1,0,0
2559,P014334-ZZ-AVG,고추비빔면,고추비빔면,고추비빔면,Spicy pepper Bibimmyeon,Spicy Pepper Bibimmyeon,농심,농심,NongShim,2017,가공식품,유탕면,P014334,식약처 산업체제공('17),120,468.64,-,6.82,18.75,68.16,7.2,962.84,0,9.37,-,0,0.008023666667,0.06,23.34723569,33,1,0,0,1,0,0,1,1,0,0
2177,P023592-ZZ-AVG,신라면블랙,신라면 블랙,신라면 블랙,Black Shin Ramyun,Black Shin Ramyun,농심,농심,NongShim,2019,가공식품,유탕면,P023592,식약처('19),134,575,-,12,18,91,8,1780,10,9,-,0,0.01328358209,0.05970149254,38.6525182,32.8358209,1,0,0,1,0,0,0,1,0,0
2204,P023619-ZZ-AVG,짜왕,짜왕,짜왕,jjawang ,Jjawang ,농심,농심,NongShim,2019,가공식품,유탕면,P023619,식약처('19),134,605,-,10,22,92,8,1180,0,9,-,0,0.008805970149,0.05970149254,25.62357948,32.8358209,1,0,0,1,0,0,1,1,0,0
2170,P023585-ZZ-AVG,사천짜파게티,사천짜파게티,사천짜파게티,Spicy jjapageti ,Spicy Jjapageti ,농심,농심,NongShim,2019,가공식품,유탕면,P023585,식약처('19),137,600,-,11,21,92,8,1080,0,8,-,0,0.007883211679,0.05839416058,22.93854029,32.11678832,1,0,0,1,0,0,0,1,0,0
1712,P020038-ZZ-AVG,새우탕면,새우탕면,새우탕면,Shrimp soup noodles,Shrimp Soup Noodles,농심,농심,NongShim,2019,가공식품,건면,P020038,식약처('19),103,360,-,9,3.2,74,6,1770,15,1.5,-,0,0.01718446602,0.05825242718,50.00329589,32.03883495,1,0,0,1,0,0,0,1,0,0
29,P065194-ZZ-AVG,김치사발면,김치사발면,김치사발면,Kimchi cup noodles,Kimchi Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065194,식약처('21),86,380,-,7,14,56,5,1520,0,7,-,0,0.0176744186,0.05813953488,51.42895811,31.97674419,1,0,0,1,0,0,1,1,0,0
57,P065222-ZZ-AVG,짜왕매운맛큰사발면,짜왕 매운맛,짜왕 매운맛,Jjawang spicy big cup noodles,Jjawang Spicy Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065222,식약처('21),104,470,-,7,18,70,6,1020,0,8,-,0,0.009807692308,0.05769230769,28.53838693,31.73076923,1,0,0,1,0,0,1,1,0,0
37,P065202-ZZ-AVG,볶음너구리큰사발면,너구리 볶음면 ,너구리 볶음면 ,Stir-fried Neoguri Big cup Noodles,Stir-Fried Neoguri Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065202,식약처('21),110,515,-,10,22,69,6,1090,3,9,-,0,0.009909090909,0.05454545455,28.8334362,30,1,0,0,1,0,0,1,1,0,0
28,P065193-ZZ-AVG,감자면큰사발면,감자면,감자면 컵,Potato noodles,Potato Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065193,식약처('21),92,405,-,6,15,62,5,1450,0,10,-,0,0.01576086957,0.05434782609,45.86092017,29.89130435,1,0,0,1,0,0,1,1,0,0
30,P065195-ZZ-AVG,김치큰사발면,김치큰사발면,김치큰사발면,Kimchi big cup noodles,Kimchi Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065195,식약처('21),112,500,-,9,18,75,6,1590,3,9,-,0,0.01419642857,0.05357142857,41.30871553,29.46428571,1,0,0,1,0,0,1,1,0,0
595,P042256-ZZ-AVG,앵그리알티에이(RtA)큰사발면,앵그리알티에이,앵그리알티에이,Angry RtA's big cup noodles,Angry Rta'S Big Cup Noodles,농심,농심,NongShim,2020,가공식품,유탕면,P042256,식약처('20),114,515,-,9,20,75,6,1720,3,10,-,0,0.0150877193,0.05263157895,43.90219,28.94736842,1,0,0,1,0,0,0,1,0,0
45,P065210-ZZ-AVG,신라면 큰사발면,신라면,신라면,big cup Shin Ramyun,Big Cup Shin Ramyun,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065210,식약처('21),114,490,-,9,17,75,6,1550,0,8,-,0,0.01359649123,0.05263157895,39.56302006,28.94736842,1,0,0,1,0,0,0,0,0,0
33,P065198-ZZ-AVG,마라고수(高手)마라탕면,농심 마라탕면,농심 마라탕면,Maragosu Malatang noodles,Maragosu Malatang Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065198,식약처('21),97,445,-,8,18,63,5,1620,0,8,-,0,0.01670103093,0.05154639175,48.59659824,28.35051546,1,0,0,1,0,0,1,1,0,0
2664,P014501-ZZ-AVG,쌀국수 소고기짜장면,쌀국수 소고기짜장면,쌀국수 소고기짜장면,beef black-bean-sauce rice noodles,Beef Black-Bean-Sauce Rice Noodles,농심,농심,NongShim,2017,가공식품,생면,P014501,식약처 산업체제공('17),120,426.27,-,8.79,6.15,83.5,6.17,966.8,0,1.14,-,0,0.008056666667,0.05141666667,23.44325897,28.27916667,1,0,0,1,0,0,0,1,0,0
2223,P023638-ZZ-AVG,짜왕매운맛,짜왕매운맛,짜왕매운맛,Spicy Jjawang,Spicy Jjawang,농심,농심,NongShim,2019,가공식품,유탕면,P023638,식약처('19),140,625,-,10,23,94,7,1250,0,10,-,0,0.008928571429,0.05,25.98032423,27.5,1,0,0,1,0,0,1,1,0,0
46,P065211-ZZ-AVG,신라면블랙사발,신라면블랙,신라면블랙,Shin Ramyun black cup,Shin Ramyun Black Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065211,식약처('21),101,445,-,9,15,68,5,1530,10,7,-,0,0.01514851485,0.0495049505,44.07909268,27.22772277,1,0,0,1,0,0,0,1,0,0
2240,P023655-ZZ-AVG,우육탕면,우육탕면,우육탕면,Beef soup noodle,Beef Soup Noodle,농심,농심,NongShim,2019,가공식품,유탕면,P023655,식약처('19),123,525,-,9,17,84,6,1790,0,8,-,0,0.01455284553,0.0487804878,42.34581628,26.82926829,1,0,0,1,0,0,1,1,0,0
1731,P020058-ZZ-AVG,얼큰장칼국수,얼큰장칼국수,얼큰장칼국수,Spicy Jang Kalguksu,Spicy Jang Kalguksu,농심,농심,NongShim,2019,가공식품,건면,P020058,식약처('19),103,365,-,9,1.7,78,5,1610,10,0.5,-,0,0.01563106796,0.04854368932,45.48322394,26.69902913,1,0,0,1,0,0,0,0,0,0
66,P065231-ZZ-AVG,특육개장큰사발면,특육개장큰사발면,특육개장큰사발면,Special Yukgaejang Big cup noodles,Special Yukgaejang Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065231,식약처('21),103,460,-,8,18,67,5,1570,9,9,-,0,0.01524271845,0.04854368932,44.35320596,26.69902913,1,0,0,1,0,0,1,1,0,0
2182,P023597-ZZ-AVG,오징어짬뽕,오징어짬뽕,오징어 짬뽕라면,Squid jjamppong,Squid Jjamppong,농심,농심,NongShim,2019,가공식품,유탕면,P023597,식약처('19),124,510,-,10,15,84,6,1750,12,8,-,0,0.01411290323,0.04838709677,41.06567379,26.61290323,1,0,0,1,0,0,0,1,0,0
2709,P014654-ZZ-AVG,즉석곰탕,즉석곰탕,즉석곰탕,Instant Gomtang,Instant Gomtang,농심,농심,NongShim,2017,가공식품,건면,P014654,식약처 산업체제공('17),120,508.8,-,15.36,1.92,107.52,5.76,2400,0,0,-,0,0.02,0.048,58.19592629,26.4,1,0,0,1,0,0,1,1,0,0
609,P042293-ZZ-AVG,감자탕큰사발면,감자탕큰사발면,감자탕큰사발면,Pork Back-bone Stew big cup noodles,Pork Back-Bone Stew Big Cup Noodles,농심,농심,NongShim,2020,가공식품,유탕면,P042293,식약처('20),105,485,-,9,19,69,5,1590,0,7,-,0,0.01514285714,0.04761904762,44.0626299,26.19047619,1,0,0,1,0,0,1,1,0,0
2659,P014496-ZZ-AVG,신라면 사발면 KAL,신라면,신라면 컵 KAL,Shin Ramyun Cup Ramen KAL,Shin Ramyun Cup Ramen KAL,농심,농심,NongShim,2017,가공식품,유탕면,P014496,식약처 산업체제공('17),80,274.29,-,4.22,9.14,43.6,3.8,1174.5,0,4.22,-,0,0.01468125,0.0475,42.71944714,26.125,1,0,0,1,0,0,0,0,0,0
55,P065220-ZZ-AVG,육개장사발면,육개장,육개장 컵,Yukgaejang Cup Noodles,Yukgaejang Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065220,식약처('21),86,375,-,7,15,53,4,1590,0,7,-,0,0.01848837209,0.04651162791,53.79739697,25.58139535,1,0,0,1,0,0,0,1,0,0
48,P065213-ZZ-AVG,신라면컵,신라면,신라면 컵,Shin Ramen Cup,Shin Ramen Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065213,식약처('21),65,300,-,5,10,47,3,1290,0,5,-,0,0.01984615385,0.04615384615,57.74826531,25.38461538,0,0,1,0,1,0,0,1,0,0
2216,P023631-ZZ-AVG,맛짬뽕,맛짬뽕,맛짬뽕,mat jjamppong,Mat Jjamppong,농심,농심,NongShim,2019,가공식품,유탕면,P023631,식약처('19),130,575,-,9,21,87,6,1780,10,9,-,0,0.01369230769,0.04615384615,39.84182646,25.38461538,1,0,0,1,0,0,1,1,0,0
36,P065201-ZZ-AVG,보글보글부대찌개큰사발면,보글보글부대찌개,보글보글부대찌개,Boggle Boggle Budae-jjigae Big cup noodles,Boggle Boggle Budae-Jjigae Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065201,식약처('21),109,480,-,9,16,75,5,1690,5,8,-,0,0.01550458716,0.04587155963,45.11519056,25.2293578,1,0,0,0,1,0,1,0,0,0
573,P042090-ZZ-AVG,미니컵면 시원한해장국맛,미니컵면,미니컵면,Mini cup noodles taste like hangover soup,Mini Cup Noodles Taste Like Hangover Soup,농심,농심,NongShim,2020,가공식품,유탕면,P042090,식약처('20),44,190,-,3,8,27,2,1050,0,4,-,0,0.02386363636,0.04545454545,69.43832114,25,1,0,0,1,0,0,1,1,0,0
49,P065214-ZZ-AVG,안성탕면컵,안성탕면,안성탕면,Anseongtangmyeon Cup,Anseongtangmyeon Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065214,식약처('21),66,290,-,5,11,43,3,1000,0,6,-,0,0.01515151515,0.04545454545,44.08782294,25,1,0,0,1,0,0,1,1,0,0
56,P065221-ZZ-AVG,육개장큰사발면,육개장,육개장,Yukgaejang big cup noodles,Yukgaejang Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065221,식약처('21),110,490,-,9,18,73,5,1610,3,9,-,0,0.01463636364,0.04545454545,42.58883696,25,1,0,0,0,1,0,0,0,0,1
2237,P023652-ZZ-AVG,감자탕면,감자탕면,감자탕면,Pork back-bone stew noodles,Pork Back-Bone Stew Noodles,농심,농심,NongShim,2019,가공식품,유탕면,P023652,식약처('19),133,565,-,13,18,88,6,1770,0,9,-,0,0.01330827068,0.04511278195,38.72435696,24.81203008,1,0,0,1,0,0,1,1,0,0
41,P065206-ZZ-AVG,새우탕컵,새우탕,새우탕 컵,Shrimp soup cup,Shrimp Soup Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065206,식약처('21),67,290,-,5,11,43,3,1210,5,6,-,0,0.01805970149,0.0447761194,52.55005284,24.62686567,1,0,0,1,0,0,0,1,0,0
311,P035100-ZZ-AVG,해물안성탕면,해물안성탕면,해물안성탕면,Seafood Anseongtangmyeon,Seafood Anseongtangmyeon,농심,농심,NongShim,2020,가공식품,유탕면,P035100,식약처('20),112,485,-,10,16,75,5,1790,7,8,-,0,0.01598214286,0.04464285714,46.50478038,24.55357143,1,0,0,1,0,0,0,1,0,0
2634,P014468-ZZ-AVG,생생우동 봉지,생생우동,생생우동,Fresh udon,Fresh Udon,농심,농심,NongShim,2017,가공식품,생면,P014468,식약처 산업체제공('17),100,160.08,-,4.35,1.58,32.02,4.39,695.65,0,0.47,-,0,0.0069565,0.0439,20.24199806,24.145,1,0,0,1,0,0,1,0,1,0
2633,P014467-ZZ-AVG,생생우동 데리야끼맛,생생우동,데리야끼 생생우동 ,Deriyakki  saengsaengudong ,Deriyakki  Saengsaengudong ,농심,농심,NongShim,2017,가공식품,생면,P014467,식약처 산업체제공('17),100,187.25,-,3.98,3.59,34.66,4.39,498.01,0,0.68,-,0,0.0049801,0.0439,14.49107662,24.145,1,0,0,1,0,0,1,0,0,0
2636,P014470-ZZ-AVG,생생우동 화끈한맛,생생우동,생생우동 화끈한맛,Hot taste udon,Hot Taste Udon,농심,농심,NongShim,2017,가공식품,생면,P014470,식약처 산업체제공('17),100,181.27,-,3.98,3.19,34.26,4.39,486.06,3.98,0.44,-,0,0.0048606,0.0439,14.14335597,24.145,1,0,0,1,0,0,1,1,0,0
2632,P014466-ZZ-AVG,생생 야끼우동 화끈한맛,생생 야끼우동,생생 야끼우동,Hot taste yakki udon,Hot Taste Yakki Udon,농심,농심,NongShim,2017,가공식품,생면,P014466,식약처 산업체제공('17),100,72.22,-,1.59,1.27,13.65,4.39,193.65,0.79,0.16,-,0,0.0019365,0.0439,5.634820563,24.145,1,0,0,1,0,0,1,1,0,0
42,P065207-ZZ-AVG,새우탕큰사발면,새우탕면,새우탕면,Shrimp soup Big cup noodles,Shrimp Soup Big Cup Noodles,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065207,식약처('21),115,510,-,10,18,77,5,1590,10,9,-,0,0.01382608696,0.04347826087,40.23109687,23.91304348,1,0,0,1,0,0,1,0,0,0
54,P065219-ZZ-AVG,우육탕큰사발면,우육탕,우육탕,big cup beef soup,Big Cup Beef Soup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065219,식약처('21),115,520,-,10,19,77,5,1590,3,10,-,0,0.01382608696,0.04347826087,40.23109687,23.91304348,1,0,0,0,1,0,1,0,0,0
2157,P023572-ZZ-AVG,올리브짜파게티,짜파게티,짜파게티,Olive jjapageti,Olive Jjapageti,농심,농심,NongShim,2019,가공식품,유탕면,P023572,식약처('19),140,610,-,11,20,97,6,1180,0,8,-,0,0.008428571429,0.04285714286,24.52542608,23.57142857,1,0,0,1,0,0,0,1,0,0
62,P065227-ZZ-AVG,참치마요큰사발면,참치마요면,참치마요 컵라면,Big cup tuna mayonnaise,Big Cup Tuna Mayonnaise,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065227,식약처('21),119,530,-,9,25,67,5,930,10,8,-,0,0.00781512605,0.04201680672,22.74042498,23.1092437,1,0,0,1,0,0,1,1,0,0
379,P037346-ZZ-AVG,앵그리너구리,앵그리 너구리,앵그리 너구리,Angry neoguri,Angry Neoguri,농심,농심,NongShim,2020,가공식품,유탕면,P037346,식약처('20),121,500,-,9,14,85,5,1690,3,8,-,0,0.01396694215,0.04132231405,40.64095679,22.72727273,1,0,0,1,0,0,0,1,0,0
